ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
1,1,3842,31613,OSW-06602,LAMPA ŚCIENNA KINKIET W STYLU LOFT E27 BELLO METAL,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3842,,,LAMPA ŚCIENNA KINKIET W STYLU LOFT E27 BELLO METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3843,31614,REA-U7900,Umywalka REA Aura 61 Nablatowa,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3843,,,Umywalka REA Aura 61 Nablatowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3847,31618,REA-U0024,Umywalka nablatowa Rea Cleo 61 White,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3847,,,Umywalka nablatowa Rea Cleo 61 White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3849,31620,REA-U0035,Umywalka Nablatowa Rea Cleo 61 Black Mat,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3849,,,Umywalka Nablatowa Rea Cleo 61 Black Mat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3851,31623,OSW-03034,PANEL LED NATYNKOWY SB 18W CZARNY,Ciepła biała 3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3851,31624,OSW-03033,PANEL LED NATYNKOWY SB 18W CZARNY,Neutralna 4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3851,31625,OSW-03035,PANEL LED NATYNKOWY SB 18W CZARNY,Zimny Biały 6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3851,53563,,PANEL LED NATYNKOWY SB 18W CZARNY,Neutralna 4500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3851,,,PANEL LED NATYNKOWY SB 18W CZARNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
